EmployeeID,NightShifts,MorningShifts,AfternoonShifts,WeekendShifts,HolidayShifts,WorkingTimeMean,WorkingTimeVariance
1,11,232,221,0,0,7.4094827586206895,0.2774854455888936
2,59,236,177,0,0,7.745762711864407,0.2584926072845268
3,2,242,240,0,0,6.983471074380165,0.2984808477075569
4,4,235,231,0,0,7.217021276595744,0.2561192944171685
5,121,245,124,0,0,8.044897959183674,0.3053529608564755
6,237,237,0,0,0,10.784810126582279,0.23739540871057693
7,0,232,232,0,0,6.978448275862069,0.30689281982385186
8,0,243,243,0,0,6.7366255144032925,0.23613236744550095
9,8,230,222,0,0,7.256521739130434,0.3138219100056992
10,4,234,230,0,0,7.128205128205129,0.2152525586001963
11,201,241,40,0,0,8.385892116182573,0.27130013831259325
12,1,241,240,0,0,7.074688796680498,0.2443983402489645
13,229,229,0,0,0,9.25764192139738,0.25350494139278007
14,235,235,0,0,0,9.434042553191489,0.28088743407893046
15,0,241,241,0,0,6.1120331950207465,0.24156293222683115
16,0,237,237,0,0,6.641350210970464,0.290316813273259
17,0,227,227,0,0,6.612334801762114,0.3003781528985249
18,246,246,0,0,0,10.987804878048781,0.25699352911895923
19,0,232,232,0,0,6.931034482758621,0.2722794446932367
20,231,231,0,0,0,9.303030303030303,0.2469038208168691
21,38,232,194,0,0,7.573275862068965,0.2976377071204671
22,0,233,233,0,0,6.030042918454936,0.2878866360811038
23,195,232,37,0,0,8.418103448275861,0.27032019704434096
24,0,242,242,0,0,6.851239669421488,0.25993621617914164
25,3,231,228,0,0,7.112554112554113,0.2916243177112768
26,241,241,0,0,0,9.356846473029046,0.24713001383126235
27,239,239,0,0,0,10.98326359832636,0.3442565310643131
28,39,236,197,0,0,7.559322033898305,0.26455102776775713
29,243,243,0,0,0,10.991769547325102,0.28092371526714893
30,1,230,229,0,0,6.826086956521739,0.2578317827985588
31,238,238,0,0,0,10.109243697478991,0.2580576534411243
32,2,242,240,0,0,6.68595041322314,0.2827063543774248
33,234,234,0,0,0,10.495726495726496,0.28538938410183073
34,0,243,243,0,0,6.189300411522634,0.23674454987586382
35,0,240,240,0,0,6.591666666666667,0.27608089260809027
36,232,232,0,0,0,10.331896551724139,0.2919652186893626
37,242,242,0,0,0,9.958677685950413,0.20575426082782297
38,0,230,230,0,0,6.021739130434782,0.318302639073476
39,1,227,226,0,0,6.762114537444934,0.28829285407975913
40,69,239,170,0,0,7.702928870292887,0.2769241587848534
41,6,244,238,0,0,7.19672131147541,0.273898670984284
42,51,235,184,0,0,7.553191489361702,0.29950900163666483
43,2,242,240,0,0,6.913223140495868,0.30364185041665326
44,2,240,238,0,0,7.020833333333333,0.27989888423989095
45,9,244,235,0,0,7.245901639344262,0.2931930108614983
46,6,240,234,0,0,7.175,0.2621338912133876
47,47,235,188,0,0,7.617021276595745,0.29714493544281106
48,80,237,157,0,0,7.8354430379746836,0.23975541729242975
49,2,227,225,0,0,6.947136563876652,0.244980702506724
50,1,228,227,0,0,6.868421052631579,0.2645490377927163
51,242,242,0,0,0,10.909090909090908,0.2821576763485477
52,237,237,0,0,0,9.19409282700422,0.2672530930415525
53,0,239,239,0,0,6.807531380753138,0.24851446854892642
54,18,236,218,0,0,7.313559322033898,0.27573025604038737
55,231,244,13,0,0,8.618852459016393,0.30268838966470485
56,1,237,236,0,0,6.780590717299578,0.2906386326253288
57,245,245,0,0,0,11.020408163265307,0.25777852124455886
58,53,227,174,0,0,7.674008810572687,0.2737904954972498
59,243,243,0,0,0,9.94238683127572,0.30245213073495575
60,92,239,147,0,0,7.924686192468619,0.3304384515312365
61,244,244,0,0,0,10.64344262295082,0.2879815152128412
62,239,239,0,0,0,10.506276150627615,0.2930276713195781
63,231,231,0,0,0,10.06060606060606,0.283267457180504
64,0,243,243,0,0,6.604938271604938,0.24823997551270585
65,19,237,218,0,0,7.514767932489452,0.2762640348995219
66,247,247,0,0,0,10.704453441295547,0.30660610249827636
67,0,232,232,0,0,6.163793103448276,0.2674279743245263
68,0,227,227,0,0,6.572687224669603,0.2634984990838541
69,0,228,228,0,0,6.105263157894737,0.2619986088569458
70,246,246,0,0,0,9.979674796747968,0.2648913223826064
71,16,242,226,0,0,7.413223140495868,0.2683721408730848
72,0,243,243,0,0,6.481481481481482,0.26721763085399197
73,0,235,235,0,0,6.314893617021276,0.2679396253864373
74,231,231,0,0,0,9.294372294372295,0.2434029738377633
75,0,232,232,0,0,6.047413793103448,0.2358374384236464
76,10,238,228,0,0,7.205882352941177,0.24857284686026535
77,5,242,237,0,0,7.115702479338843,0.26041630945440813
78,231,231,0,0,0,9.86147186147186,0.2589873894221692
79,230,230,0,0,0,10.478260869565217,0.30301879627872413
80,0,239,239,0,0,6.836820083682008,0.3135965683344495
81,32,232,200,0,0,7.616379310344827,0.2980855351545031
82,0,244,244,0,0,6.077868852459017,0.25317074816164437
83,0,236,236,0,0,6.0508474576271185,0.28676523620627625
84,241,242,1,0,0,8.950413223140496,0.26309111484516806
85,238,238,0,0,0,10.378151260504202,0.27833918377477146
86,207,244,37,0,0,8.430327868852459,0.25438507724481907
87,90,233,143,0,0,7.92274678111588,0.26124759508657636
88,3,237,234,0,0,7.109704641350211,0.28452406493599514
89,239,239,0,0,0,9.648535564853557,0.2709117119651209
90,70,239,169,0,0,7.803347280334728,0.2594845469568573
91,0,237,237,0,0,6.286919831223629,0.2732603876135295
92,0,233,233,0,0,6.257510729613734,0.3213334319964517
93,225,228,3,0,0,8.807017543859649,0.31501661643094464
94,56,231,175,0,0,7.740259740259741,0.25398080180689053
95,7,233,226,0,0,7.296137339055794,0.21795915347047412
96,247,247,0,0,0,10.809716599190283,0.2685230900891971
